# T11 — 뜻은 가깝고 사실은 다른 쌍 20개 (v0.3 2C 가 손으로 만들었다)
# 한 줄에 한 쌍. 탭으로 왼쪽 기억 · 오른쪽 기억을 가른다. `#` 로 시작하면 주석.
# 두 기억은 말투·틀·태그·scope 가 같고 **숫자·경로·이름만 다르다.**
# 중복으로 잡히면 안 된다 (오거절 ≤ 1).
검색 한 번이 32.5ms 에서 11.1ms 로 줄었다. Stats() 대신 Count() 하나만 부르게 고쳤다	검색 한 번이 107.6ms 에서 11.7ms 로 줄었다. Stats() 대신 Count() 하나만 부르게 고쳤다
gc 한 번에 옮기는 상한은 200건이다. 그보다 많으면 다음 판으로 미룬다	gc 한 번에 옮기는 상한은 500건이다. 그보다 많으면 다음 판으로 미룬다
락 기다리는 시간은 90초로 잡았다. 넘으면 그냥 물러난다	락 기다리는 시간은 30초로 잡았다. 넘으면 그냥 물러난다
훅 따라잡기 예산은 600ms 다. 넘으면 그 자리에서 그만둔다	훅 따라잡기 예산은 200ms 다. 넘으면 그 자리에서 그만둔다
경로 감옥을 뚫는 자리는 internal/store/files.go 에 있었다	경로 감옥을 뚫는 자리는 internal/index/body.go 에 있었다
색인 한 줄이 38토큰이다. 500건이면 18,900토큰이 된다	색인 한 줄이 12토큰이다. 500건이면 6,000토큰이 된다
문서 하나가 볼 후보 상한은 50개다. 넘으면 태그를 많이 나눠 가진 것부터 남긴다	문서 하나가 볼 후보 상한은 20개다. 넘으면 태그를 많이 나눠 가진 것부터 남긴다
simhash 해밍 문턱은 8 이다. 표가 2,000건 아래면 전수로 한 번 더 훑는다	simhash 해밍 문턱은 16 이다. 표가 2,000건 아래면 전수로 한 번 더 훑는다
요약 길이는 30~120자로 못 박았다. 한 문장으로 쓴다	요약 길이는 20~200자로 못 박았다. 한 문장으로 쓴다
태그는 2~5개를 붙인다. 표준 목록 밖이면 거절한다	태그는 3~8개를 붙인다. 표준 목록 밖이면 거절한다
재순위 깊이는 상위 200건이다. 그 아래는 안 본다	재순위 깊이는 상위 50건이다. 그 아래는 안 본다
history 는 반감기 90일로 감쇠한다. 바닥은 0.3 이다	decision 은 반감기 720일로 감쇠한다. 바닥은 0.3 이다
근거 : PoC06 §3 (설계 실측 사실 5)	근거 : PoC03 §1-3 (설계 실측 사실 1)
20k 말뭉치에서 lint 가 43초였다. 정렬 지문으로 6.99초까지 내렸다	2k 말뭉치에서 lint 가 19초였다. 정렬 지문으로 4.20초까지 내렸다
모델은 multilingual-e5-small 을 쓴다. int8 로 quantize 해서 113MB 다	모델은 bge-m3 을 쓴다. int8 로 quantize 해서 570MB 다
비밀정보 값 길이 하한은 20자다. 그 아래는 경고만 한다	비밀정보 값 길이 하한은 6자다. 그 아래는 경고만 한다
낱말 상한은 8개다. 그보다 많이 치면 앞에서 자른다	낱말 상한은 3개다. 그보다 많이 치면 앞에서 자른다
inbox/tmp 에 쓰고 inbox/new 로 옮긴다. 원자 쓰기다	local/tmp 에 쓰고 local/new 로 옮긴다. 원자 쓰기다
gc 쿨다운은 24시간이다. 그 안에 또 부르면 아무것도 안 한다	gc 쿨다운은 72시간이다. 그 안에 또 부르면 아무것도 안 한다
검색 사다리는 5칸이다. strict 는 0·1·2·5번 칸을 쓴다	검색 사다리는 8칸이다. strict 는 0·1·3·6번 칸을 쓴다
